Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
429.mcf-22B,latetpl2d1,0.7509,1.0519753432333987,0.1500419211817943,0.7468914428207414,0,0.9734144377851328,0.5725867622547055 ,0.023700849028132007,1.1269103222435726,115,133.5,75.81,31.43758,15.976815,15.43083,0,0,0,0,0,0.303756,0,0,0,972879
429.mcf-22B,latetpl2d2,0.7562,1.0594003922667414,0.17046014348960856,0.6590811985218683,0,0.9856720717438924,0.3387395467725178 ,0.020482828235131263,1.1521563380964486,113.9,134.6,75.91,31.47538,15.59301,15.143175,0,0,0,0,0,0.459342,0,0,0,1266193
429.mcf-22B,latetpl2d3,0.7563,1.0595404875315213,0.17686030564159091,0.6059228895827853,0,0.9868239590205997,0.2400014597527502 ,0.018707446409772538,1.1706791358162332,113.8,135.4,76.14,31.46213,15.472705,15.054255,0,0,0,0,0,0.557375,0,0,0,1440817
429.mcf-22B,latetpl2d4,0.756,1.0591202017371812,0.18022410808429776,0.5769389253474524,0,0.9869422920168138,0.18874779327396982 ,0.018137237733912334,1.1817998869176416,113.9,135.8,76.31,31.44758,15.409475,14.99899,0,0,0,0,0,0.626985,0,0,0,1545895
429.mcf-22B,latetpl2d5,0.7558,1.0588400112076213,0.18157883256956628,0.5601507930472637,0,0.9870952306767854,0.15791232305106953 ,0.01830558661836932,1.1879521638734913,113.9,136,76.41,31.431065,15.38401,14.972465,0,0,0,0,0,0.676379,0,0,0,1604318
429.mcf-22B,latetpl3d1,0.7497,1.0502942000560382,0.14752399030067276,0.7275816878002888,0,0.9936138406311626,0.5709948074640777 ,0.023552128401077545,1.1304484858678556,115.6,133.8,75.95,31.449755,16.024145,15.550325,0,0,0,0,0,0.303268,0,0,0,973646
429.mcf-22B,latetpl3d2,0.7549,1.0575791538246007,0.16643826361188221,0.641947093840508,0,0.9951784889822901,0.33455871303429896 ,0.020118555948102478,1.155877614386586,114.5,134.9,76.1,31.485425,15.66861,15.261875,0,0,0,0,0,0.459412,0,0,0,1271988
429.mcf-22B,latetpl3d3,0.7554,1.058279630148501,0.17411840499479178,0.5958196220717632,0,0.9946084870372158,0.23784688699681875 ,0.018702737597781766,1.1726658568046093,114.2,135.6,76.29,31.46304,15.524245,15.14023,0,0,0,0,0,0.557593,0,0,0,1442549
429.mcf-22B,latetpl3d4,0.7552,1.057999439618941,0.1770401198477644,0.5673979708527952,0,0.9945827804587279,0.18682081668766926 ,0.018552668724785764,1.1830483706766155,114.3,136,76.47,31.44575,15.469325,15.08834,0,0,0,0,0,0.626344,0,0,0,1543407
429.mcf-22B,latetpl3d5,0.755,1.0577192490893808,0.17882921799972123,0.5510156249026015,0,0.9946739550974141,0.15626377360529362 ,0.018196496742523972,1.1902706479783731,114.4,136.2,76.57,31.43603,15.435695,15.06201,0,0,0,0,0,0.676621,0,0,0,1604234
